Date Published,Document Type,Measure,Drawing Number,Description,View 
Select this document,19 Apr 2021,Drawing,,20 330 71,PROPOSED PLANS & ELEVATIONS,
Select this document,08 Dec 2021,Decision,,,,
Select this document,08 Dec 2021,Delegated Report,,,,
Select this document,15 Nov 2021,Revised Drawing,,,PARKING SPACES,
Select this document,15 Nov 2021,Revised Drawing,,,FLOOR PLANS,
Select this document,15 Nov 2021,Revised Drawing,,,ELEVATIONS,
Select this document,27 Jul 2021,Drawing,,,ELEVATIONS AS SEEN FROM NO 66,
Select this document,17 Jun 2021,Drawing,,,PROPOSED GROUND & FIRST FLOOR PLAN + ROOF,
Select this document,17 Jun 2021,Drawing,,,EXISTING GROUND & FIRST FLOOR PLAN & ELEVATIONS,
Select this document,17 Jun 2021,Drawing,,,PROPOSED ELEVATIONS,
Select this document,17 Jun 2021,Application Form,,,,
Select this document,05 Jan 2022,CIL,,,CIL-2021-0152-LN1-SBC LIABILITY NOTICE,
Select this document,05 Jan 2022,CIL,,,CIL-2021-0152-LN1-ICONTWOLTD LIABILITY NOTICE,
Select this document,05 Jan 2022,CIL,,,CIL-2021-0152-LN1-VYGON LIABILITY NOTICE,
Select this document,05 Jan 2022,CIL,,,CIL-2021-0152-LN1-SEPDPLC LIABILITY NOTICE,
Select this document,05 Jan 2022,Section 106,,,S106 AGREEMENT - REDACTED,
Select this document,14 Dec 2021,Decision,,,,
Select this document,14 Dec 2021,Delegated Report,,,,
Select this document,08 Dec 2021,Correspondence,,,ENVIRONMENTAL HEALTH TO OFFICER,
Select this document,19 Jul 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH,
Select this document,19 Jul 2021,Correspondence,,,EOT CONFIRMATION AND ADDITIONAL DETAILS,
Select this document,19 Jul 2021,Correspondence,,,OFFICER TO AGENT,
Select this document,19 Jul 2021,Correspondence,,,LEGAL INSTRUCTION TO OFFICER - TRAVEL PLAN,
Select this document,19 Jul 2021,Consultee Comment,,,ECOLOGY,
Select this document,19 Jul 2021,Consultee Comment,,,ECOLOGY,
Select this document,19 Jul 2021,Correspondence,,,OFFICER TO PARISH COUNCIL,
Select this document,17 Jul 2021,Public Comment,,,"7 WOODCUTTERS MEWS, GROUNDWELL",
Select this document,16 Jul 2021,Consultee Comment,,,LANDSCAPE,
Select this document,06 Jul 2021,Correspondence,,,AGENT TO OFFICER REGARDING ECOLOGY DOCUMENTS,
Select this document,06 Jul 2021,Supporting Documents,,REV A,ECOLOGICAL APPRAISAL - APPENDIX A,
Select this document,06 Jul 2021,Revised Drawing,,1430-01 REV D,SOFT LANDSCAPE PROPOSALS,
Select this document,06 Jul 2021,Supporting Documents,,,BIODIVERSITY METRIC 2.0 CALCULATION,
Select this document,06 Jul 2021,Revised Drawing,,200708-1404-P05,PROPOSED NORTH AND SOUTH ELEVATIONS,
Select this document,06 Jul 2021,Revised Drawing,,200708-1403-P05,PROPOSED EAST ELEVATION,
Select this document,06 Jul 2021,Supporting Documents,,REV A,ECOLOGICAL APPRAISAL,
Select this document,06 Jul 2021,Supporting Documents,,,BIODIVERSITY IMPACT ASSESSMENT CALCULATION TECHNICAL NOTE,
Select this document,06 Jul 2021,Supporting Documents,,,ARBORICULTURAL IMPACT ASSESSMENT ADDENDUM,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 1,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 2,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 4,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 3,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 5,
Select this document,15 Jun 2021,Supporting Documents,,,REVISED VISUAL IMPACT ASSESSMENT - PART 6,
Select this document,10 Jun 2021,Consultee Comment,,,HIGHWAYS,
Select this document,28 May 2021,Revised Drawing,,200708-2001 P14,PROPOSED SITE PLAN,
Select this document,28 May 2021,Correspondence,,,REVISED TRANSPORT DETAILS,
Select this document,28 May 2021,Supporting Documents,,REV B,TRAVEL PLAN,
Select this document,14 May 2021,Consultee Comment,,,URBAN DESIGN,
Select this document,12 May 2021,Consultee Comment,,,HIGHWAYS ENGLAND,
Select this document,04 May 2021,Consultee Comment,,,LANDSCAPE,
Select this document,04 May 2021,Consultee Comment,,,POLICY,
Select this document,28 Apr 2021,Consultee Comment,,,ARCHAEOLOGIST,
Select this document,27 Apr 2021,Consultee Comment,,,ARCHAEOLOGIST,
Select this document,27 Apr 2021,Supporting Documents,,,TRAVEL PLAN,
Select this document,20 Apr 2021,Consultee Comment,,,DRAINAGE ENGINEER,
Select this document,12 Apr 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH,
Select this document,06 Apr 2021,Public Comment,,,"7 WOODCUTTERS MEWS, GROUNDWELL",
Select this document,01 Apr 2021,Consultee Comment,,,ECOLOGY,
Select this document,01 Apr 2021,Consultee Comment,,,HIGHWAYS,
Select this document,26 Mar 2021,Consultee Comment,,,ST ANDREWS PARISH,
Select this document,24 Mar 2021,Site Notice,,,,
Select this document,24 Mar 2021,Site Notice,,,SITE NOTICE,
Select this document,22 Mar 2021,Revised Drawing,,200708-1405 REV P06,PROPOSED WEST ELEVATIONS,
Select this document,22 Mar 2021,Revised Drawing,,200708-2001 REV P12,PROPOSED SITE PLAN,
Select this document,22 Mar 2021,Revised Drawing,,200708-2002 REV P04,PROPOSED GROUND FLOOR PLAN,
Select this document,22 Mar 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,19 Mar 2021,BackGround Papers,,,ADVERT LIST 26 MARCH 2021,
Select this document,16 Mar 2021,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,16 Mar 2021,Consultee Comment,,,THAMES WATER,
Select this document,11 Feb 2021,Drawing,,200708-1051-P2,SITE LOCATION PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED FIRST FLOOR PLAN,
Select this document,11 Feb 2021,Drawing,,,EXISTING SITE PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED GROUND FLOOR PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED LONG CONTEXT SECTION,
Select this document,11 Feb 2021,Drawing,,,PROPOSED ROOF PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED SECOND FLOOR PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED SITE PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED CONTEXT PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED TYPICAL BUILDING SECTION,
Select this document,11 Feb 2021,Drawing,,,PROPOSED EAST ELEVATIONS,
Select this document,11 Feb 2021,Drawing,,,PROPOSED SECTION D-D,
Select this document,11 Feb 2021,Drawing,,,EXISTING SITE SECTIONS,
Select this document,11 Feb 2021,Drawing,,,PROPOSED SITE SECTIONS,
Select this document,11 Feb 2021,Drawing,,,PROPOSED OFFICE & WELFARE PLAN,
Select this document,11 Feb 2021,Drawing,,,PROPOSED NORTH & SOUTH ELEVATIONS,
Select this document,11 Feb 2021,Supporting Documents,,,ARBORICULTURAL IMPACT ASSESSMENT,
Select this document,11 Feb 2021,Supporting Documents,,,COMMERCIAL NOISE IMPACT ASSESSMENT,
Select this document,11 Feb 2021,Supporting Documents,,,ECOLOGICAL APPRAISAL,
Select this document,11 Feb 2021,Supporting Documents,,,FLOOD RISK ASSESSMENT & DRAINAGE STRATEGY,
Select this document,11 Feb 2021,Supporting Documents,,,TRANSPORT ASSESSMENT,
Select this document,11 Feb 2021,Supporting Documents,,,TRAVEL PLAN,
Select this document,11 Feb 2021,Supporting Documents,,,DESIGN & ACCESS STATEMENT,
Select this document,11 Feb 2021,Drawing,,1430-01,SOFT LANDSCAPE PROPOSALS,
Select this document,11 Feb 2021,Drawing,,,PROPOSED VISUAL STAFF OFFICE,
Select this document,11 Feb 2021,Drawing,,,LOOKING SOUTH WEST FROM BLUNSDON UNDERPASS,
Select this document,11 Feb 2021,Correspondence,,,COVERING LETTER,
Select this document,11 Feb 2021,CIL,,,,
Select this document,11 Feb 2021,Supporting Documents,,,PLANNING STATEMENT,
Select this document,11 Feb 2021,Supporting Documents,,,VISUAL IMPACT APPRAISAL,
Select this document,11 Feb 2021,Drawing,,,,
Select this document,11 Feb 2021,Drawing,,,EXISTING VIEWS,
Select this document,11 Feb 2021,Drawing,,,EXISTING VIEW,
Select this document,11 Feb 2021,Drawing,,,EXISTING VIEWPOINT,
Select this document,11 Feb 2021,Drawing,,,PHOTOMONTAGE VIEWPOINT 06,
Select this document,11 Feb 2021,Application Form,,,,
Select this document,11 Feb 2021,Drawing,,,PROPOSED WEST ELEVATIONS,
Select this document,02 Dec 2021,Decision,,,,
Select this document,02 Dec 2021,Delegated Report,,,,
Select this document,24 Nov 2021,Consultee Comment,,,ECOLOGY,
Select this document,11 Nov 2021,Supporting Documents,,REVISED,GWA BAT SURVEY,
Select this document,03 Sep 2021,Supporting Documents,,,BAT SURVEY PLAN,
Select this document,05 Aug 2021,Consultee Comment,,,ECOLOGY,
Select this document,05 Aug 2021,Consultee Comment,,,ECOLOGY,
Select this document,03 Aug 2021,Revised Drawing,,6APFS104-JAC-GWA-DR-0001 (REV A),EXISTING PLAN & DRAINAGE ARRANGEMENT,
Select this document,03 Aug 2021,Revised Drawing,,6APFS104-JAC-GWA-DR-0002 (REV A),PROPOSED PLAN & DRAINAGE ARRANGEMENT,
Select this document,03 Aug 2021,Revised Drawing,,6APFS104-JAC-GWA-DR-0003 (REV A),EXISTING & PROPOSED CROSS SECTION,
Select this document,03 Aug 2021,Supporting Documents,,,COMMUNITY USE PLAN,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-MD-0004,SUPPLEMENTARY DRAINAGE INFO 4,
Select this document,03 Aug 2021,Consultee Comment,,,SPORTS ENGLAND,
Select this document,03 Aug 2021,Drawing,,,TREE PLANTING,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-MD-0001,SUPPLEMENTARY DRAINAGE INFO 1,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-RP-0001 (REV A),DRAINAGE STRATEGY,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-TN-3001,TREE PLANTING AND MAINTENANCE,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-MD-0002,SUPPLEMENTARY DRAINAGE INFO 2,
Select this document,03 Aug 2021,Supporting Documents,,6APFS104-JAC-GWA-MD-0003,SUPPLEMENTARY DRAINAGE INFO 3,
Select this document,28 Apr 2021,Consultee Comment,,,DRAINAGE,
Select this document,06 Apr 2021,Public Comment,,,"4 SOYUZ CRESCENT, OAKHURST",
Select this document,12 Feb 2021,Supporting Documents,,,LANDSCAPE VISUAL IMPACT ASSESSMENT,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 1.1,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 1.2,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.2,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.3,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.4,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.5,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.6,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.7,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.9,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.1,
Select this document,12 Feb 2021,Supporting Documents,,,LVIA FIGURE 2.8,
Select this document,15 Jan 2021,Consultee Comment,,,ECOLOGY,
Select this document,06 Jan 2021,Consultee Comment,,,ST ANDREWS PARISH,
Select this document,06 Jan 2021,Consultee Comment,,,HIGHWAYS,
Select this document,22 Dec 2020,Consultee Comment,,,SPORT ENGLAND,
Select this document,17 Dec 2020,Consultee Comment,,,DRAINAGE,
Select this document,21 Nov 2020,Drawing,,6APFS104-JAC-GWA-DR-0003,EXISTING & PROPOSED CROSS SECTION,
Select this document,21 Nov 2020,Supporting Documents,,,DRAINAGE STRATEGY,
Select this document,21 Nov 2020,Supporting Documents,,,HIGHWAYS STATEMENT GWA,
Select this document,21 Nov 2020,Supporting Documents,,,PRELIMINARY ECOLOGICAL APPRAISAL [PEA] / PRELIMINARY ROOST ASSESSMENT,
Select this document,21 Nov 2020,Drawing,,GWAWP-JAC-00-GF-DR-A-ZZ 70 60-0005,SITE LOCATION PLAN,
Select this document,21 Nov 2020,Drawing,,GWAWP-JAC-00-GF-DR-A-ZZ 70 60-0010,SITE PLAN EXISTING,
Select this document,21 Nov 2020,Supporting Documents,,,DESIGN & ACCESS STATEMENT,
Select this document,21 Nov 2020,Drawing,,6APFS104-JAC-GWA-DR-0010,LANDSCAPE PROPOSALS PLAN,
Select this document,21 Nov 2020,Drawing,,6APFS104-JAC-GWA-DR-0011,LANDSCAPE SECTIONS,
Select this document,21 Nov 2020,Supporting Documents,,,ALL WEATHER PITCH FLOODLIGHTING REPORT,
Select this document,21 Nov 2020,Drawing,,UKS17464,HORIZONTAL ILLUMINANCE LEVELS,
Select this document,21 Nov 2020,Supporting Documents,,,LIGHTING SPECIFICATIONS,
Select this document,21 Nov 2020,Supporting Documents,,,COMMUNITY USE PLAN,
Select this document,21 Nov 2020,Drawing,,6APFS104-JAC-GWA-DR-0001,EXISTING PLAN & DRAINAGE ARRANGEMENT,
Select this document,21 Nov 2020,Drawing,,6APFS104-JAC-GWA-DR-0002,PROPOSED PLAN & DRAINAGE ARRANGEMENT,
Select this document,21 Nov 2020,Supporting Documents,,,BAT ACTIVITY SURVEYS,
Select this document,21 Nov 2020,Application Form,,,,
Select this document,23 Dec 2021,CIL,,,S-20-1542 - PAYMENT RECEIVED IN FULL AND DISCHARGED,
Select this document,20 Dec 2021,CIL,,,CIL-2021-0146-LN2-LANE LIABILITY NOTICE,
Select this document,20 Dec 2021,CIL,,,CIL-2021-0146-LN2-MERALI LIABILITY NOTICE,
Select this document,20 Dec 2021,CIL,,,CIL-2021-0146-DN2-MERALI DEMAND NOTICE,
Select this document,20 Dec 2021,CIL,,,CIL-2021-0146-DN2-LANE DEMAND NOTICE,
Select this document,17 Dec 2021,CIL,,,S-20-1542 - ASSUMPTION OF LIABILITY NOT VALID-MERALI,
Select this document,17 Dec 2021,CIL,,,S-20-1542 - ASSUMPTION OF LIABILITY NOT VALID-LANE,
Select this document,17 Dec 2021,CIL,,,S-20-1542 - COMMENCEMENT NOTICE NOT VALID-MERALI,
Select this document,07 Dec 2021,Decision,,,,
Select this document,07 Dec 2021,Delegated Report,,,,
Select this document,11 Nov 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,11 Nov 2021,Revised Drawing,,,ACCESS PLAN,
Select this document,11 Nov 2021,Revised Drawing,,,SITE PLAN,
Select this document,13 Oct 2021,Consultee Comment,,REVISED,HIGHWAYS,
Select this document,21 Sep 2021,Revised Drawing,,,LOCATION PLAN,
Select this document,21 Sep 2021,Revised Drawing,,,BLOCK PLAN,
Select this document,23 Feb 2021,Consultee Comment,,,ENVIRONMENTAL HEALTH,
Select this document,17 Feb 2021,Consultee Comment,,,SOUTH SWINDON PARISH,
Select this document,17 Feb 2021,Consultee Comment,,,HIGHWAYS,
Select this document,26 Jan 2021,Application Form,,,,
Select this document,26 Jan 2021,CIL,,,FORM 1,
Select this document,26 Jan 2021,Drawing,,20/123 (II),SITE SECTION,
Select this document,26 Jan 2021,Drawing,,,LOCATION PLAN,
Select this document,26 Jan 2021,Supporting Documents,,,DESIGN & ACCESS STATEMENT,
Select this document,26 Jan 2021,CIL,,,FORM 2,
Select this document,26 Jan 2021,Drawing,,20/123 (I),PLANS & ELEVATIONS,
Select this document,08 Dec 2021,Delegated Report,,,,
Select this document,19 Jan 2021,Decision,,,,
Select this document,19 Jan 2021,Delegated Report,,,,
Select this document,31 Jul 2020,Decision,,,,
Select this document,06 Mar 2020,Delegated Report,,,,
Select this document,06 Mar 2020,Delegated Report,,,,
Select this document,23 Nov 2021,Decision,,,,
Select this document,22 Nov 2021,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,25 Oct 2021,Drawing,,24177/015/020 REV D,WICHELSTOWE DEVELOPMENT IDENTIFIED AREAS OF LOCAL CONTAMINATION,
Select this document,25 Oct 2021,Correspondence,,,SUPPORTING DOCUMENTS,
Select this document,25 Oct 2021,Correspondence,,,HAZARDOUS WASTE REGULATIONS 2005 CONSIGNMENT NOTE,
Select this document,25 Oct 2021,Correspondence,,,WICHELSTOWE AREA 2 GROUND CONDITIONS ASSESSMENT,
Select this document,25 Oct 2021,Correspondence,,,WICHELSTOWE - DISCHARGE OF CONDITION 18 OF THE OUTLINE CONSENT,
Select this document,25 Oct 2021,Application Form,,,,
Select this document,22 Nov 2021,Decision,,,,
Select this document,15 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,25 Oct 2021,Drawing,,140190-P(1)05-B,PROPOSED ROOF PLAN,
Select this document,25 Oct 2021,Drawing,,140190-P(1)06-B,PROPOSED ELEVATIONS,
Select this document,25 Oct 2021,Drawing,,140190-P(1)03-E,PROPOSED SITE PLAN,
Select this document,25 Oct 2021,Drawing,,140190-P(1)07-B,PROPOSED STREET ELEVATIONS,
Select this document,25 Oct 2021,Drawing,,140190-P(1)04-B,PROPOSED FLOOR PLAN,
Select this document,25 Oct 2021,Correspondence,,,COVERING LETTER,
Select this document,25 Oct 2021,Application Form,,,,
Select this document,25 Nov 2021,Delegated Report,,,,
Select this document,25 Nov 2021,Decision,,,,
Select this document,26 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,26 Oct 2021,Drawing,,1.0,PROPOSED SINGLE STOREY REAR EXTENSION,
Select this document,25 Nov 2021,Decision,,,,
Select this document,25 Nov 2021,Delegated Report,,,,
Select this document,25 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,25 Oct 2021,Drawing,,2218/1,PROPOSED REAR EXTENSION,
Select this document,29 Nov 2021,Decision,,,,
Select this document,29 Nov 2021,Delegated Report,,,,
Select this document,17 Nov 2021,Consultee Comment,,,HAYDON WICK PARISH,
Select this document,25 Oct 2021,Drawing,,753/001,SITE LOCATION PLAN,
Select this document,25 Oct 2021,CIL,,,CIL,
Select this document,25 Oct 2021,Drawing,,753/100,PROPOSED GENERAL ARRANGEMENT,
Select this document,25 Oct 2021,Drawing,,753/005,EXISTING SITE PLAN,
Select this document,25 Oct 2021,Drawing,,753/050,PROPOSED SITE PLAN,
Select this document,25 Oct 2021,Drawing,,753/010,EXISTING GENERAL ARRANGEMENT,
Select this document,08 Nov 2021,Decision,,,,
Select this document,08 Nov 2021,Delegated Report,,,,
Select this document,18 Oct 2021,Drawing,,21/1677/01,EXISTING PROPOSED,
Select this document,18 Oct 2021,Drawing,,,LOCATION PLAN,
Select this document,18 Oct 2021,Drawing,,,BLOCK PLAN OF THE SITE,
Select this document,18 Oct 2021,CIL,,,CIL,
Select this document,18 Oct 2021,Application Form,,,,
Select this document,29 Nov 2021,Decision,,,,
Select this document,29 Nov 2021,Delegated Report,,,,
Select this document,30 Oct 2021,Public Comment,,,"27 LINEACRE CLOSE, GRANGE PARK, SWINDON",
Select this document,18 Oct 2021,Supporting Documents,,,COVERING LETTER,
Select this document,18 Oct 2021,Supporting Documents,,,CONSTRUCTION NOTES,
Select this document,18 Oct 2021,Drawing,,038 / 090,FLOOR PLANS AND ELEVATIONS,
Select this document,18 Oct 2021,Drawing,,,BLOCK PLAN,
Select this document,18 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,18 Oct 2021,Application Form,,,,
Select this document,16 Nov 2021,Decision,,,,
Select this document,16 Nov 2021,Delegated Report,,,,
Select this document,08 Nov 2021,Consultee Comment,,,WROUGHTON PARISH,
Select this document,20 Oct 2021,Correspondence,,,DEMOLITION NOTICE,
Select this document,20 Oct 2021,Correspondence,,,DEMOLITION METHOD STATEMENT,
Select this document,20 Oct 2021,Drawing,,WRO-SP-14-10-21,NATIONAL COLLECTIONS CENTRE SITE PLAN,
Select this document,20 Oct 2021,Drawing,,NCC-L1-L2-141021,HANGARS L1 AND L2 ANNEXES,
Select this document,20 Oct 2021,Drawing,,NCC-L3-L4-1141021,HANGARS L3 AND L4 ANNEXES,
Select this document,20 Oct 2021,Application Form,,,,
Select this document,29 Nov 2021,Decision,,,,
Select this document,29 Nov 2021,Delegated Report,,,,
Select this document,19 Nov 2021,Revised Drawing,,,FULL PLAN INCLUDING PARKING,
Select this document,19 Nov 2021,Revised Drawing,,,FULL PLANS,
Select this document,18 Nov 2021,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,25 Oct 2021,Correspondence,,,REQUEST FOR EOT ON COMMENTS - STRATTON ST MARGARET,
Select this document,25 Oct 2021,Correspondence,,,REQUEST FOR EOT ON COMMENTS - STRATTON ST MARGARET,
Select this document,13 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,13 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,13 Oct 2021,Drawing,,3242/1,FULL PLANS,
Select this document,13 Oct 2021,Application Form,,,,
Select this document,17 Nov 2021,Delegated Report,,,,
Select this document,17 Nov 2021,Decision,,,,
Select this document,18 Oct 2021,CIL,,,CIL,
Select this document,18 Oct 2021,Drawing,,A2 21/25,EXISTING AND PROPOSED PLAN SECTIONS AND ELEVATIONS,
Select this document,17 Nov 2021,Decision,,,,
Select this document,17 Nov 2021,Delegated Report,,,,
Select this document,04 Nov 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,20 Oct 2021,Drawing,,A2 21/23,EXISTING AND PROPOSED PLAN SECTIONS AND ELEVATIONS,
Select this document,20 Oct 2021,CIL,,,CIL,
Select this document,29 Nov 2021,Decision,,,,
Select this document,29 Nov 2021,Delegated Report,,,,
Select this document,28 Oct 2021,Consultee Comment,,,WANBOROUGH PARISH,
Select this document,13 Oct 2021,Drawing,,21 377 02 REV A,EXISTING ELEVATIONS,
Select this document,13 Oct 2021,Drawing,,21 377 09 REV A,SITE LOCATION AND BLOCK PLANS,
Select this document,11 Oct 2021,Drawing,,21 377 01,PLANS AND SECTIONS AS EXISTING,
Select this document,11 Oct 2021,Drawing,,21 377 11,PLANS AND SECTIONS AS PROPOSED,
Select this document,11 Oct 2021,Drawing,,21 377 12,ELEVATIONS AS PROPOSED,
Select this document,11 Oct 2021,Application Form,,,,
Select this document,29 Nov 2021,Decision,,,,
Select this document,29 Nov 2021,Delegated Report,,,,
Select this document,11 Nov 2021,Revised Drawing,,,FULL PLANS,
Select this document,04 Nov 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,08 Oct 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,08 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,08 Oct 2021,Drawing,,2217/1,PROPOSED FRONT SIDE & REAR EXT,
Select this document,08 Oct 2021,Application Form,,,,
Select this document,25 Nov 2021,Decision,,,,
Select this document,25 Nov 2021,Delegated Report,,,,
Select this document,17 Nov 2021,Consultee Comment,,,HAYDON WICK PARISH,
Select this document,22 Oct 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,07 Oct 2021,Correspondence,,,CERTIFICATE OF ACCREDITATION,
Select this document,07 Oct 2021,Drawing,,,THE LOCATION PLAN,
Select this document,07 Oct 2021,Drawing,,Y21-139-4,BLOCK PLAN OF THE SITE,
Select this document,07 Oct 2021,Application Form,,Y21-139-1,SURVEY OF EXISTING,
Select this document,07 Oct 2021,Drawing,,Y21-139-2,PROPOSED SINGLE STOREY REAR EXTENSION,
Select this document,07 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,07 Oct 2021,Application Form,,,,
Select this document,30 Nov 2021,Delegated Report,,,,
Select this document,30 Nov 2021,Decision,,,,
Select this document,10 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,04 Nov 2021,Consultee Comment,,,LANDSCAPE,
Select this document,04 Nov 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,26 Oct 2021,Public Comment,,,"THE SWINDON HOUSING COMPANY LTD- CIVIC OFFICES, EUCLID STREET, SWINDON",
Select this document,25 Oct 2021,Public Comment,,,70 SEVENFIELDS HIGHWORTH SWINDON,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,002 SITE LOCATION PLAN,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,100 EXISTING SITE PLAN,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,150 EXISTING SITE ELEVATION,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,215 PROPOSED SITE PLAN,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,265 PROPOSED SITE ELEVATION,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,304 PROPOSED CONFIGURATION ANTENNA SCHEDULE,
Select this document,18 Oct 2021,Correspondence,,,PROPOSED 5G TELECOMMUNICATIONS INSTALLATION FOR CK HUTCHISON NETWORKS (UK) LTD,
Select this document,18 Oct 2021,Correspondence,,,MOBILE UK BRIEFING NOTE,
Select this document,18 Oct 2021,Drawing,,SWN18887_PLANNING_REV_A,307 EQUIPMENT SCHEDULES & DEPENDENCIES,
Select this document,18 Oct 2021,Correspondence,,,5G SITE SPECIFIC SUPPLEMENTARY INFORMATION AND PLANNING JUSTIFICATION STATEMENT,
Select this document,19 Nov 2021,Decision,,,,
Select this document,19 Nov 2021,Delegated Report,,,,
Select this document,04 Nov 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,18 Oct 2021,Consultee Comment,,,CLLR WATTS RODBOURNE CHENEY WARD,
Select this document,06 Oct 2021,Drawing,,,BLOCK PLAN 1:500,
Select this document,06 Oct 2021,CIL,,,CIL QUESTIONS,
Select this document,06 Oct 2021,Drawing,,,LOCATION PLAN,
Select this document,06 Oct 2021,Application Form,,,,
Select this document,06 Oct 2021,Drawing,,21/1661/01,PROPOSED OUTBUILDING,
Select this document,16 Nov 2021,Decision,,,,
Select this document,16 Nov 2021,Delegated Report,,,,
Select this document,11 Oct 2021,CIL,,,CIL,
Select this document,11 Oct 2021,Drawing,,,LOCATION PLAN SCALE 1-1250,
Select this document,11 Oct 2021,Drawing,,21/113,"SINGLE STORY EXTENSION TO REAR ELEVATION AT NO 27 CHICKEREL ROAD, SWINDON, SN3 2",
Select this document,11 Oct 2021,Drawing,,,LOCATION PLAN SCALE 1-500,
Select this document,08 Nov 2021,Decision,,,,
Select this document,08 Nov 2021,Delegated Report,,,,
Select this document,07 Oct 2021,Drawing,,21/1658/01,EXISTING PROPOSED,
Select this document,07 Oct 2021,Drawing,,,THE LOCATION PLAN,
Select this document,07 Oct 2021,Drawing,,,BLOCK PLAN,
Select this document,07 Oct 2021,CIL,,,CIL,
Select this document,07 Oct 2021,Application Form,,,,
Select this document,01 Dec 2021,Application Form,,,CIL-2021-0138-LN1 LIABILITY NOTICE,
Select this document,17 Nov 2021,Decision,,,,
Select this document,17 Nov 2021,Delegated Report,,,,
Select this document,15 Nov 2021,Revised Drawing,,REV A,PLANNING LAYOUT,
Select this document,15 Nov 2021,Revised Drawing,,REV A,SITE PLAN,
Select this document,12 Nov 2021,Consultee Comment,,,HIGHWAYS,
Select this document,28 Oct 2021,Consultee Comment,,,WANBOROUGH PARISH,
Select this document,18 Oct 2021,Public Comment,,,7 CALLAS RISE,
Select this document,06 Oct 2021,Supporting Documents,,,CERTIFICATE OF ACCREDITATION,
